@RELATION pacman

@ATTRIBUTE pacman_x NUMERIC
@ATTRIBUTE pacman_y NUMERIC
@ATTRIBUTE can_Stop {True, False}
@ATTRIBUTE can_North {True, False}
@ATTRIBUTE can_East {True, False}
@ATTRIBUTE can_South {True, False}
@ATTRIBUTE can_West {True, False}
@ATTRIBUTE ghost1_x NUMERIC
@ATTRIBUTE ghost1_y NUMERIC
@ATTRIBUTE ghost2_x NUMERIC
@ATTRIBUTE ghost2_y NUMERIC
@ATTRIBUTE ghost3_x NUMERIC
@ATTRIBUTE ghost3_y NUMERIC
@ATTRIBUTE ghost4_x NUMERIC
@ATTRIBUTE ghost4_y NUMERIC
@ATTRIBUTE ghost1_dist NUMERIC
@ATTRIBUTE ghost2_dist NUMERIC
@ATTRIBUTE ghost3_dist NUMERIC
@ATTRIBUTE ghost4_dist NUMERIC
@ATTRIBUTE num_food NUMERIC
@ATTRIBUTE nearest_food_dist NUMERIC
@ATTRIBUTE pacman_direction {North, South, East, West, Stop}
@ATTRIBUTE action {North, South, East, West, Stop}
@ATTRIBUTE score NUMERIC
@ATTRIBUTE score_change NUMERIC
@ATTRIBUTE next_pacman_x NUMERIC
@ATTRIBUTE next_pacman_y NUMERIC
@ATTRIBUTE next_direction {North, South, East, West, Stop}
@ATTRIBUTE next_nearest_food_dist NUMERIC
@ATTRIBUTE next_ghost1_dist NUMERIC
@ATTRIBUTE next_ghost2_dist NUMERIC
@ATTRIBUTE next_ghost3_dist NUMERIC
@ATTRIBUTE next_ghost4_dist NUMERIC
@ATTRIBUTE next_num_food NUMERIC

@DATA
15,9,True,True,True,True,True,5,9,8,11,14,5,13,9,10.0,9.0,6.0,2.0,1,?,South,South,-17,0.0,15,9,South,?,10.0,9.0,6.0,2.0,1
15,9,True,True,True,True,True,5,9,8,11,13,5,13,9,10.0,9.0,6.0,2.0,1,?,South,South,-17,-1.0,14,9,West,?,9.0,8.0,5.0,1.0,1
14,9,True,True,True,True,True,5,9,8,11,13,5,13,9,9.0,8.0,5.0,1.0,1,?,West,West,-18,0.0,14,9,West,?,8.0,8.0,5.0,1.0,1
14,9,True,True,True,True,True,5,9,8,11,13,5,13,9,8.0,8.0,5.0,1.0,1,?,West,West,-18,0.0,14,9,West,?,8.0,9.0,5.0,1.0,1
14,9,True,True,True,True,True,6,9,8,11,13,5,13,9,8.0,9.0,5.0,1.0,1,?,West,West,-18,0.0,14,9,West,?,8.0,9.0,4.0,1.0,1
14,9,True,True,True,True,True,6,9,7,11,13,5,13,9,8.0,9.0,4.0,1.0,1,?,West,West,-18,0.0,14,9,West,?,8.0,9.0,4.0,2.0,1
14,9,True,True,True,True,True,6,9,7,11,13,6,13,9,8.0,9.0,4.0,2.0,1,?,West,West,-18,-1.0,13,9,West,?,7.0,8.0,3.0,1.0,1
13,9,True,True,True,True,True,6,9,7,11,13,6,13,8,7.0,8.0,3.0,1.0,1,?,West,West,-19,0.0,13,9,West,?,7.0,8.0,3.0,1.0,1
13,9,True,True,True,True,True,6,9,7,11,13,6,13,8,7.0,8.0,3.0,1.0,1,?,West,West,-19,0.0,13,9,West,?,7.0,9.0,3.0,1.0,1
13,9,True,True,True,True,True,6,9,7,11,13,6,13,8,7.0,9.0,3.0,1.0,1,?,West,West,-19,0.0,13,9,West,?,7.0,9.0,4.0,1.0,1
